,Area,Cost of Production,Crop,MSP,Mean,Min,Month,Year,Profit,Profit %,Loan wavier
0,Warangal,3460,Paddy,3800.0,1410,1400,January,2016,340.0,9.826589595375722,True
1,Warangal,3460,Paddy,3800.0,1410,1410,January,2016,340.0,9.826589595375722,True
2,Warangal,3460,Paddy,3800.0,1410,1410,January,2016,340.0,9.826589595375722,True
3,Warangal,3460,Paddy,3800.0,1410,1410,January,2016,340.0,9.826589595375722,True
4,Warangal,3460,Paddy,3800.0,1410,1410,January,2016,340.0,9.826589595375722,True
5,Warangal,3460,Paddy,3800.0,1410,1400,January,2016,340.0,9.826589595375722,True
6,Warangal,3460,Paddy,3800.0,1410,1400,January,2016,340.0,9.826589595375722,True
7,Warangal,3460,Paddy,3800.0,1410,1410,January,2016,340.0,9.826589595375722,True
8,Warangal,3460,Paddy,3800.0,1400,1400,January,2016,340.0,9.826589595375722,True
9,Warangal,3460,Paddy,3800.0,1400,1400,January,2016,340.0,9.826589595375722,True
10,Warangal,3460,Paddy,3800.0,1410,1410,January,2016,340.0,9.826589595375722,True
11,Warangal,3460,Paddy,3800.0,1300,1300,January,2016,340.0,9.826589595375722,True
12,Warangal,3460,Paddy,3800.0,1410,1410,February,2016,340.0,9.826589595375722,True
13,Warangal,3460,Paddy,3800.0,1400,1400,February,2016,340.0,9.826589595375722,True
14,Warangal,3460,Paddy,3800.0,1275,1275,February,2016,340.0,9.826589595375722,True
15,Warangal,3460,Paddy,3800.0,1800,1800,February,2016,340.0,9.826589595375722,True
16,Warangal,3460,Paddy,3800.0,1400,1400,February,2016,340.0,9.826589595375722,True
17,Warangal,3460,Paddy,3800.0,1411,1411,March,2016,340.0,9.826589595375722,True
18,Warangal,3460,Paddy,3800.0,1411,1411,April,2016,340.0,9.826589595375722,True
19,Warangal,3460,Paddy,3800.0,1400,1390,April,2016,340.0,9.826589595375722,True
20,Warangal,3460,Paddy,3800.0,1420,1420,April,2016,340.0,9.826589595375722,True
